time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0696641667,0.0000,0.0000,-0.0460,-0.0000,0,80.0,60.0,0.0000
740036.0696643750,-0.0000,0.0000,-0.0458,-0.0000,0,80.0,60.0,0.0000
740036.0696646412,-0.0000,0.0000,-0.0453,-0.0000,0,80.0,60.0,0.0000
740036.0696647222,-0.0000,0.0000,-0.0448,-0.0000,0,80.0,60.0,0.0000
740036.0696685648,-0.0000,0.0000,-0.0442,0.0000,0,80.0,60.0,0.0000
740036.0696686227,-0.0000,-0.0000,-0.0438,0.0000,0,80.0,60.0,0.0000
740036.0696686342,-0.0000,-0.0000,-0.0435,0.0000,0,80.0,60.0,0.0000
740036.0696686459,-0.0000,-0.0000,-0.0432,-0.0000,0,80.0,60.0,0.0000
740036.0696691551,-0.0000,-0.0000,-0.0431,0.0000,0,80.0,60.0,0.0000
740036.0696691667,-0.0000,-0.0000,-0.0431,0.0000,0,80.0,60.0,0.0000
740036.0696691782,-0.0000,-0.0000,-0.0432,0.0000,0,80.0,60.0,0.0000
740036.0696691899,-0.0000,-0.0000,-0.0434,-0.0000,0,80.0,60.0,0.0000
740036.0696695487,-0.0000,-0.0000,-0.0437,-0.0000,0,80.0,60.0,0.0000
740036.0696695717,0.0000,-0.0000,-0.0442,-0.0000,0,80.0,60.0,0.0000
740036.0696695833,0.0000,-0.0000,-0.0447,-0.0000,0,80.0,60.0,0.0000
740036.0696695949,0.0000,-0.0000,-0.0454,-0.0000,0,80.0,60.0,0.0000
740036.0696700925,0.0000,-0.0000,-0.0462,-0.0000,0,80.0,60.0,0.0000
740036.0696701157,0.0000,-0.0000,-0.0471,-0.0000,0,80.0,60.0,0.0000
740036.0696701274,0.0000,-0.0000,-0.0481,-0.0000,0,80.0,60.0,0.0000
740036.0696701274,0.0000,-0.0000,-0.0492,-0.0000,0,80.0,60.0,0.0000
740036.0696703935,0.0000,-0.0000,-0.0504,-0.0000,0,80.0,60.0,0.0000
740036.0696704166,0.0000,-0.0000,-0.0517,-0.0000,0,80.0,60.0,0.0000
740036.0696704283,0.0000,-0.0000,-0.0532,-0.0000,0,80.0,60.0,0.0000
740036.0696704283,0.0000,-0.0000,-0.0548,-0.0000,0,80.0,60.0,0.0000
740036.0696708218,0.0000,-0.0000,-0.0564,-0.0000,0,80.0,60.0,0.0000
740036.0696708449,0.0000,-0.0000,-0.0582,-0.0000,0,80.0,60.0,0.0000
740036.0696708565,0.0000,-0.0000,-0.0601,0.0000,0,80.0,60.0,0.0000
740036.0696708565,0.0000,0.0000,-0.0621,0.0000,0,80.0,60.0,0.0000
740036.0696713194,0.0000,0.0000,-0.0642,0.0000,0,80.0,60.0,0.0000
740036.0696713426,0.0000,0.0000,-0.0664,0.0000,0,80.0,60.0,0.0000
740036.0696713541,0.0000,0.0000,-0.0687,0.0000,0,80.0,60.0,0.0000
740036.0696713658,0.0000,-0.0000,-0.0711,0.0000,0,80.0,60.0,0.0000
740036.0696720949,0.0000,-0.0000,-0.0736,0.0000,0,80.0,60.0,0.0000
740036.0696721065,0.0000,0.0000,-0.0763,0.0000,0,80.0,60.0,0.0000
740036.0696721412,0.0000,0.0000,-0.0790,0.0000,0,80.0,60.0,0.0000
740036.0696721644,0.0000,0.0000,-0.0819,0.0000,0,80.0,60.0,0.0000
740036.0696723958,0.0000,0.0000,-0.0849,0.0000,0,80.0,60.0,0.0000
740036.0696724305,0.0000,0.0000,-0.0879,0.0000,0,80.0,60.0,0.0000
740036.0696724422,0.0000,0.0000,-0.0911,0.0000,0,80.0,60.0,0.0000
740036.0696724653,0.0000,0.0000,-0.0944,0.0000,0,80.0,60.0,0.0000
740036.0696728472,0.0000,0.0000,-0.0978,0.0000,0,80.0,60.0,0.0000
740036.0696728588,0.0000,0.0000,-0.1014,0.0000,0,80.0,60.0,0.0000
740036.0696728703,0.0000,0.0000,-0.1050,0.0000,0,80.0,60.0,0.0000
740036.0696728820,0.0000,0.0000,-0.1087,0.0000,0,80.0,60.0,0.0000
740036.0696730556,0.0000,0.0000,-0.1126,0.0000,0,80.0,60.0,0.0000
740036.0696730671,0.0000,0.0000,-0.1165,0.0000,0,80.0,60.0,0.0000
740036.0696731019,0.0000,0.0000,-0.1206,0.0000,0,80.0,60.0,0.0000
740036.0696731134,0.0000,0.0000,-0.1248,0.0000,0,80.0,60.0,0.0000
740036.0696732755,0.0000,0.0000,-0.1290,0.0000,0,80.0,60.0,0.0000
740036.0696732986,0.0000,0.0000,-0.1334,0.0000,0,80.0,60.0,0.0000
740036.0696733218,0.0000,0.0000,-0.1379,0.0000,0,80.0,60.0,0.0000
740036.0696733333,0.0000,0.0000,-0.1426,-0.0000,0,80.0,60.0,0.0000
740036.0696735301,0.0000,0.0000,-0.1473,-0.0000,0,80.0,60.0,0.0000
740036.0696735532,0.0000,0.0000,-0.1521,-0.0000,0,80.0,60.0,0.0000
740036.0696735649,0.0000,0.0000,-0.1571,-0.0000,0,80.0,60.0,0.0000
740036.0696735879,0.0000,0.0000,-0.1622,0.0000,0,80.0,60.0,0.0000
740036.0696737963,0.0000,0.0000,-0.1674,0.0000,0,80.0,60.0,0.0000
740036.0696738078,0.0000,0.0000,-0.1726,0.0000,0,80.0,60.0,0.0000
740036.0696738310,0.0000,0.0000,-0.1780,0.0000,0,80.0,60.0,0.0000
740036.0696738426,0.0000,0.0000,-0.1835,0.0000,0,80.0,60.0,0.0000
740036.0696740625,0.0000,0.0000,-0.1892,0.0000,0,80.0,60.0,0.0000
740036.0696740856,0.0000,0.0000,-0.1949,0.0000,0,80.0,60.0,0.0000
